form	lemma	POS	morph
ཞྭ་དམར་	ཞྭ་དམར་	PROPN
སྐུ་ཕྲེང་	སྐུ་ཕྲེང་	NOUN
གཉིས་པ་	གཉིས་པ་	NUM
མཁའ་སྤྱོད་	མཁའ་སྤྱོད་	NOUN
དབང་པོ་	དབང་པོ་	NOUN
འི་	གི་	PART
ལོ་རྒྱུས་	ལོ་རྒྱུས་	NOUN
། ༄༅། །		PUNCT
སྒྲུབ་བརྒྱུད་	སྒྲུབ་བརྒྱུད་	NOUN
འདི་ཉིད་	འདི་ཉིད་	OTHER
ཀྱི་	གི་	PART
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
བདག་པོ་	བདག་པོ་	NOUN
ར་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
།		PUNCT
ཞྭ་དམར་	ཞྭ་དམར་	PROPN
ཅོད་པན་	ཅོད་པན་	NOUN
འཛིན་པ་	འཛིན་པ་	VERB
གཉིས་པ་	གཉིས་པ་	NUM
དཔལ་	དཔལ་	OTHER
མཁའ་སྤྱོད་	མཁའ་སྤྱོད་	NOUN
དབང་པོ་	དབང་པོ་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
བྱང་	བྱང་	NOUN
གནམ་	གནམ་	NOUN
གཞུང་	གཞུང་	NOUN
གི་	གི་	PART
བྱེ་མ་	བྱེ་མ་	NOUN
ལུང་	ལུང་	NOUN
ན་ཁ་	ན་ཁ་	NO_POS
བར་པ་	བར་པ་	NOUN
བྱ་བ་	བྱ་བ་	VERB
ཡབ་	ཡབ་	NOUN
ལྷ་རྒྱལ་	ལྷ་རྒྱལ་	NO_POS
དང་	དང་	NO_POS
ཡུམ་	ཡུམ་	NOUN
འབྲོག་	འབྲོག་	NOUN
མོ་	མོ་	PRON
འི་	གི་	PART
སྲ་	སྲ་	NOUN
སུ་	ལ་	PART
ལྕགས་ཕོ་	ལྕགས་ཕོ་	NO_POS
སྟག་ལོ་	སྟག་ལོ་	PROPN
ལ་	ལ་	PART
བལྟམས་	བལྟམས་	NO_POS
།		PUNCT
ཟླ་བ་	ཟླ་བ་	NOUN
བདུན་	བདུན་	NUM
ལོན་པ་	ལོན་པ་	VERB
ན་	ལ་	PART
རྗེ་	རྗེ་	NO_POS
རང་བྱུང་	རང་བྱུང་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
མེ་ཏོག་	མེ་ཏོག་	NOUN
ཁ་	ཁ་	PRON
མ་	མ་	PART
བྱེ་བ་	བྱེ་བ་	NOUN
འཛིན་པ་	འཛིན་པ་	VERB
ས་	གིས་	PART
།		PUNCT
མེ་ཏོག་	མེ་ཏོག་	NOUN
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
སྨིན་	སྨིན་	VERB
ཡང་	ཀྱང་	PART
ཁ་	ཁ་	PRON
མ་	མ་	PART
བྱེ་	བྱེ་	NOUN
།།		PUNCT
དལ་འབྱོར་	དལ་འབྱོར་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
ཐོབ་	ཐོབ་	VERB
ཀྱང་	ཀྱང་	PART
སྟོབས་	སྟོབས་	NOUN
མ་	མ་	PART
རྒྱ་	རྒྱ་	VERB
།།		PUNCT
རང་	རང་	PRON
གི་	གི་	PART
ངོ་བོ་	ངོ་བོ་	NOUN
མཐོང་	མཐོང་	VERB
ཡང་ཐ་	ཡང་ཐ་	NO_POS
མལ་པ་	མལ་པ་	NO_POS
།།		PUNCT
ད་ནི་	ད་ནི་	NO_POS
རྟག་	རྟག་	VERB
ཏུ་	ལ་	PART
མཐོང་བ་	མཐོང་བ་	VERB
བསྟེན་	བསྟེན་	VERB
བྱ་	བྱ་	VERB
བུ་	བུ་	NOUN
།།		PUNCT
ཞེ་	ཅེས་	PART
གསུངས་པ་	གསུངས་པ་	VERB
ན་	ལ་	PART
དད་པ་	དད་པ་	VERB
ས་	གིས་	PART
ལུས་	ལུས་	NOUN
འཕར་	འཕར་	NO_POS
ཞིང་	ཅིང་	PART
མཆི་མ་	མཆི་མ་	NOUN
འི་	གི་	PART
རྒྱུན་	རྒྱུན་	NOUN
བྱུང་བ་	བྱུང་བ་	VERB
ས་	གིས་	PART
ཡབ་ཡུམ་	ཡབ་ཡུམ་	NOUN
